,activity,grade,merit,message,time,user
10,322       ,Member Offline,10        Look ARROUND!,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41868767#msg41868767"">Quote from: bhadz on July 09, 2018, 10:24:32 PM</a></div>', '<div class=""quote"">This is market is speculative and that\'s why many are believing these predictions especially if it came from a popular person who made riches through investing. There\'s nothing wrong if you\'ll get yourself start believing these predictions, what you need to do is have your prediction on where the market is going. Since they are here to stay, you should start analyzing so you\'ll start depending on your own market analysis after reading charts and considering the news as well.<br/></div>', 'Yes i do agree on your statement. There are lots of speculations in the cryto world that made people alert on whats going on in the market. Then starting on analyzing on what would be the best thing to do to be able to get the good profit. ']","July 10, 2018, 05:31:00 AM",BagzMM
11,149       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41865369#msg41865369"">Quote from: avikz on July 09, 2018, 08:52:17 PM</a></div>', '<div class=""quote"">Prediction is the core of bitcoin market. Without prediction, entire market is bound to fail. We invest in bitcoins because we believe that the value of bitcoin will be high in future. That\'s one kind of prediction. <br/><br/>Also majority of the crypto trades are based on short term predictions. If people stop predicting/speculating bitcoin\'s price, the market movement will be halted and the growth will be stopped. Bitcoin is largely a speculative asset. Without prediction, nothing will be achieved.<br/></div>', '<br/>', 'I agree with your opinion We still need prediction but not prediction from other people I mean, we have to find valid data and predict with that data, prediction from others or experts may be made in addition and consolidation of opinion only .']","July 10, 2018, 05:45:52 AM",2start
12,588       ,Sr. Member Offline,251,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', ""For me all of those things are just something to remind a person whether he or she will listen to the prediction or not. Well, this is my answer, ALL OF THOSE PREDICTION ARE JUST PREDICTION. It is up to you whether you'll follow it or not. Some people are scared to take risks, some people do take risks. Remember in cryptocurrency all things you are doing is risking. This includes trading and buying of bitcoins at different rate."", '<br/>', '<br/>', ""Note: If you're just a newbie in crypto, take care in following some predictions. Some of those are fake but some are real. Although we have experts, experts tends to fail also. ""]","July 10, 2018, 05:51:35 AM",Xenrise
13,728       ,Sr. Member Offline,254,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41881284#msg41881284"">Quote from: zolfa on July 10, 2018, 05:52:32 AM</a></div>', '<div class=""quote"">if you think an investor\'s prediction is a mistake, then, what should the investor do? in my opinion, a prediction is part of the market analysis.<br/><br/>we do not expect to predictions, but we expect on the volatility that profits us. <br/><br/>so, I think predictions are no problem, and do not affect the crypto market. even sometimes good predictions can eliminate the panic.<br/></div>', ""It is fine to make predictions within yourself as an investor, but taken other people's (investors) predictions to action Is what you should avoid. Experts are bound to fail when making predictions, 90% of their claim never comes to light.""]","July 10, 2018, 09:35:32 AM",9jaflick
14,280       ,Full Member Offline,102,"['I am not a buff of activity forecast or chitchat assembly, I activity cast away terminated accepting in their forecast assorted interval so I stopped-up been a buff of chitchat or forecast market.']","July 10, 2018, 09:44:40 AM",Cryptosis
15,1       ,Newbie Offline,0,"['Could not agree more. Without prediction there is no market ', '<img alt=""Smiley"" border=""0"" src=""https://bitcointalk.org/Smileys/default/smiley.gif""/>']","July 10, 2018, 09:51:41 AM",cryptoscorsese
16,325       ,Full Member Offline,100,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41868767#msg41868767"">Quote from: bhadz on July 09, 2018, 10:24:32 PM</a></div>', '<div class=""quote"">This is market is speculative and that\'s why many are believing these predictions especially if it came from a popular person who made riches through investing. There\'s nothing wrong if you\'ll get yourself start believing these predictions, what you need to do is have your prediction on where the market is going. Since they are here to stay, you should start analyzing so you\'ll start depending on your own market analysis after reading charts and considering the news as well.<br/></div>', '<br/>', '<br/>', 'For us to not be in panic mode. we have to find valid data and predict with that data, prediction from others or experts may be made in addition and consolidation of opinion only. Some of those are fake but some are real. Although we have experts, experts tends to fail also.']","July 10, 2018, 10:01:23 AM",m.mendoza
17,280       ,Member Offline,15        BookiePro.Fun - The World's Betting Exchange,"[""I completely ignore any kind of market predictions, even positive ones. People change their mind too often and I hate when someone does so when there is an occasion. There are so many different opinions that no one should take them seriously. Cryptocurrencies are relatively new and no one knows what is going to happen to them. I'm positive about their future.""]","July 10, 2018, 10:40:55 AM",BelieveInBTC
18,350       ,Member Offline,16        BLUPASS.CO | ICO LIVE! | 15/5 - 30/9 | JOIN NOW!,"['I only listen to positive forecasts. There\x92s not much historical basis for analysts to predict future prices anyway. I\x92m with those people with sunny disposition. ', '<img alt=""Cool"" border=""0"" src=""https://bitcointalk.org/Smileys/default/cool.gif""/>']","July 10, 2018, 10:48:42 AM",Catch-22
19,938       ,Hero Member Offline,504,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41880506#msg41880506"">Quote from: BagzMM on July 10, 2018, 05:31:00 AM</a></div>', '<div class=""quote"">Yes i do agree on your statement. There are lots of speculations in the cryto world that made people alert on whats going on in the market. Then starting on analyzing on what would be the best thing to do to be able to get the good profit. <br/></div>', ""And right now, I'm starting to believe that before the great bull come we have to come all over through a massive dumps like what's happening again."", '<br/>', '<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41893337#msg41893337"">Quote from: m.mendoza on July 10, 2018, 10:01:23 AM</a></div>', '<div class=""quote"">For us to not be in panic mode. we have to find valid data and predict with that data, prediction from others or experts may be made in addition and consolidation of opinion only. Some of those are fake but some are real. Although we have experts, experts tends to fail also.<br/></div>', ""We don't predict data's and correct that experts are tend to fail too but as a trader, you have your own decision to study and apply what you have learned and heard.""]","July 10, 2018, 06:22:50 PM",bhadz
0,910       ,Hero Member Offline,501        ★777Coin.com★ Fun BTC Casino!,"[""it's always better if we can make our own prediction and not depends on other people's prediction because if we make the prediction, we make with based on our experience and our skill so we don't have to blame other people because their prediction is wrong. maybe the other people's prediction can give some clue or guide for us to make our prediction. but sometimes, we need to make speculation for the market so we can make the prediction works and we can make some profit.""]","July 11, 2018, 07:50:48 AM",ethereumhunter
1,98       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41876903#msg41876903"">Quote from: btcluisdiki on July 10, 2018, 03:38:59 AM</a></div>', '<div class=""quote"">I believe that people should not rely more on predictions or speculations since there is no definite assurance<br/>that guarantee it will increase the price immediately. It\'s better that you should be observant on the current market trend and study its pattern on your own. <br/></div>', '<br/>', ""There are some prediction are not so true some are relay on what they are read a or what they hear from the news or TV because when you say prediction is a statement about a future event. A prediction is often, but not always, based upon experience or knowledge \xa0that's why you have keep on updated to all happenings in bitcoin so you know already the happenings. ""]","July 11, 2018, 07:58:26 AM",Phinoy
2,228       ,Member Offline,10,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/>\xa0<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', ' Yes, I agree with you. When investing, I always remind myself not to believe in any other opinion. Because it is not the best idea, I always think my opinion is the best.', '<br/>', 'So I never had a loss in the Cryptocurrency market. I usually take profit early and never greed. ', '<img alt=""Grin"" border=""0"" src=""https://bitcointalk.org/Smileys/default/grin.gif""/>']","July 11, 2018, 08:14:28 AM",adamlillian
3,192       ,Member Offline,10        WPP ENERGY - BACKED ASSET GREEN ENERGY TOKEN,"['I never believed analyzed the market on the internet, or some blogs of experts are correct. I believe in analyzing my market rather than believing some others. Sometimes my analysis may be wrong, but most of the time I have analyzed the price of the market recently are accurate', '<br/>']","July 11, 2018, 08:33:27 AM",dmcx
4,141       ,Member Offline,10        DOMINIUM - Decentralised property platform,"['I always choose the holding method, and I never pay attention to the market analysis of expert analysis groups. I bought a lot of coins and held them in my wallet. I will only sell when the price of the coins rise', '<br/>']","July 11, 2018, 08:41:34 AM",memecoin
5,265       ,Member Offline,10        Semi-Decentralized Exchange,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41865369#msg41865369"">Quote from: avikz on July 09, 2018, 08:52:17 PM</a></div>', '<div class=""quote"">Prediction is the core of bitcoin market. Without prediction, entire market is bound to fail. We invest in bitcoins because we believe that the value of bitcoin will be high in future. That\'s one kind of prediction. <br/><br/>Also majority of the crypto trades are based on short term predictions. If people stop predicting/speculating bitcoin\'s price, the market movement will be halted and the growth will be stopped. Bitcoin is largely a speculative asset. Without prediction, nothing will be achieved.<br/></div>', '<br/>', 'Prediction without basis is really not a good thing to believe with, but as we all know the cryptocurrency runs with predicted outcomes that might occur in the near future, we do not need to trust prediction which is kerely opinionated. We hould firmly believe to the ideas given by the experts who gathered information, conducted research and such in able for them to prove the things they are saying. It is not bad to believe but lets believe to the facts.']","July 11, 2018, 08:49:49 AM",Shimmiry
6,378       ,Member Offline,11,"['I agree with this opinion, and I am a victim of market prediction. although in truth I believe in the coin, on the project that was built behind it, but the market said otherwise and did not match the prediction.']","July 11, 2018, 09:29:20 AM",andriw
7,196       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', 'Maybe it depends on you and how you handle yourself to some predictions or speculations. It is just up to you and your instincts. Whatever is the news you heared, the decision is yours. ']","July 11, 2018, 09:48:54 AM",Bumblecoin
8,224       ,Jr. Member Offline,8,"[""Well i could not agree more with because we are unique individuals and we are different in ways how do we understand look life and that includes even on how we are going to learn. Listening to those people that are doing good is not bad at all. They just want to make you realize on what you did might be wrong. Just be open minded even you listen for those news if you will have your own standings even if it is a FUD you could be able to decide on yourself without depending on those FUDSTER's view.""]","July 11, 2018, 09:54:44 AM",jademacoy
9,392       ,Full Member Offline,100        https://eloncity.io/,"['No one knows the future itself. Some people are very found of believing and following some kind of predictions, not only here in the crypto currency but also in some other aspects of life. No one have the power to control what will happen in the crypto world. The life here changes unpredictably. In the world we are living, we should always remember that there is no permanent except change. ']","July 11, 2018, 10:10:53 AM",nikki4
10,126       ,Newbie Offline,0,"['I think that many people predict that bitcoin prices will go up and vice versa', '<br/>']","July 11, 2018, 07:53:16 AM",DungPhan
11,57       ,Newbie Offline,0,"['It\x92s just that predictions don\x92t necessarily happen. Of course, those who make such predictions may have some thoughts.']","July 11, 2018, 08:03:29 AM",vdhsas
12,252       ,Member Offline,10        WPP ENERGY - BACKED ASSET GREEN ENERGY TOKEN,"['Many experts are evaluating the price of the market every day with the analysis is different because each expert has their views. I only follow and learn about these analyzes, and I never believe that these analyzes are accurate 100%', '<br/>']","July 11, 2018, 08:24:52 AM",casternetwork
13,308       ,Jr. Member Offline,3        He's able to keep me from falling,"['The crypto market is much more random than what most investors think. Indeed, it looks almost like a random walk: even if it has been going down 7 days in a row, the probability that it will go down tomorrow is still 50%: random walks are memory-less processes.']","July 11, 2018, 08:40:02 AM",Luizrosevelt
14,378       ,Full Member Offline,100,"[""It's okay to believe in some market predictions, but still don't rely that much, after all, it's still an opinion. Also, Bitcoin fluctuates it is obvious that we cannot predict it's value\xa0 that accurate ""]","July 11, 2018, 08:45:28 AM",Tashi
15,518       ,Sr. Member Offline,256,"['Predictions are always part of the speculative market and cryptocurrency market is one of them. A lot of us, especially the investors and traders speculates on the currency they want to buy or sell and then make a move. Predictiions are not bad but you should entirely the fate of your investments on it. You have to monitor the market regularly and learn how the price move and what causes it to rise or fall. \xa0']","July 11, 2018, 08:57:39 AM",Rooster101
16,420       ,Full Member Offline,103        Thinking on the higher plane of existence.,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', '<br/>', '1. I also think the same way.', '<br/>', '<br/>', '2. There is nothing wrong to be a speculator specially if you have reliable facts to hold on.', '<br/>', '<br/>', '3. All of us are onlooker, just in different manner.', '<br/>', '<br/>', '4. How would you consider those early adapter who are millionaires right now?', '<br/>', '<br/>', '5. It depends on the person on how would he react to price speculations. There is just people who are lazy enough to not to make there own analysis and rely to those predictions of other people.', '<br/>', '<br/>']","July 11, 2018, 09:45:42 AM",Ilegendph
17,325       ,Full Member Offline,100,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41869035#msg41869035"">Quote from: abanansah on July 09, 2018, 10:31:31 PM</a></div>', '<div class=""quote"">Predictions are the basis of trading on which decision are made. There is no sure thing in crypto trading and all things are base on speculations from traders and analyst. <br/></div>', '<br/>', '<br/>', ""Predictiions are not bad but you should entirely the fate of your investments on it. You have to monitor the market regularly and learn how the price move and what causes it to rise or fall.\xa0 There are so many different opinions that no one should take them seriously. Cryptocurrencies are relatively new and no one knows what is going to happen to them. I'm positive about their future.""]","July 11, 2018, 09:53:23 AM",m.mendoza
18,124       ,Jr. Member Offline,1,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41871230#msg41871230"">Quote from: kickdapa on July 09, 2018, 11:43:32 PM</a></div>', '<div class=""quote"">Totally agree with you. I stopped following any kind of predictions many days ago. Because We every crypto people already have seen lots of prediction goes to the wrong. There is no one who knows the crypto market exactly, It is not possible. No one controls the crypto market. Following the prediction always gives a false hope. After breaking that hope people become lost too. So, don\'t run before any kind of prediction. Do your own research.<br/></div>', ""Are you sure you can stay off predictions completely? To me, everything based in crypto markets are mostly vased on predictions. We all predict the market to increase in price by the end of the year. We don't have any strong fact that it will rise today, tomorrow, or any other day. But where I'm in support of your point is that we shouldn't be vexed in that or we might follow a wrong group who will entice you to join their pump and they might dump on you.""]","July 11, 2018, 10:01:50 AM",ghermghuda
19,7       ,Newbie Offline,0,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41862696#msg41862696"">Quote from: 9jaflick on July 09, 2018, 07:56:47 PM</a></div>', '<div class=""quote"">As an investor one thing you shouldn\'t engage yourself with is Predictions, if you want to be successfully in this Crypto ecosystem, you need to stay off any form of market prediction.<br/><br/>Here are few reasons why you shouldn\'t engaged with it (market/price prediction) <br/><br/>1. Predictions can be wrong<br/><br/>2. Listening to predictions makes you a speculator<br/><br/>3. Listening to predictions makes you an onlooker<br/><br/>4. Price prediction gives you nothing for today, only false hope<br/><br/>5. Listening to price prediction makes you think in one direction<br/><br/>Finally<br/><br/><b>Don\x92t let speculation and assumption make you decide what to do.</b><br/></div>', "" I think the prediction is a reference and it would be correct to know how to select it instead of avoiding it. In today's internet age, our grasp of information has become much easier. However, we can not cover the amount of information that massive. Having a plan from the information is very good, but surfing through the predictions to see more information or new information is probably not bad either.""]","July 11, 2018, 10:31:54 AM",jordankoa30
0,266       ,Jr. Member Offline,1,"['Forecasts are made by people who were paid for submitting information. Forecasts are made for price manipulation. I think that the forecasts are ordered by the ""whales"" of the crypt world.']","July 11, 2018, 10:39:53 AM",Dimon8
1,336       ,Full Member Offline,106,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41865369#msg41865369"">Quote from: avikz on July 09, 2018, 08:52:17 PM</a></div>', '<div class=""quote"">Prediction is the core of bitcoin market. Without prediction, entire market is bound to fail. We invest in bitcoins because we believe that the value of bitcoin will be high in future. That\'s one kind of prediction. <br/><br/>Also majority of the crypto trades are based on short term predictions. If people stop predicting/speculating bitcoin\'s price, the market movement will be halted and the growth will be stopped. Bitcoin is largely a speculative asset. Without prediction, nothing will be achieved.<br/></div>', '<br/>', 'This is true. Although, there are some forecasts that are considered to be false, which are primarily from the \x93whales.\x94 I think people should not necessarily boycott their reliance on predictions and speculations. Rather, people should be vigilant regarding the news or speculations they are reading. Not everything we find in the internet is true and it is important to double check our knowledge before acting on it. ']","July 11, 2018, 11:02:16 AM",Sir Cross
2,201       ,Member Offline,12        Staker.network - POS Smart Contract ETH Token,"['market predictions can be wrong is like the understatement of the century. of course they can be wrong we always have 2 camps in crypto the onces who call bear and the onces who call bull. ', '<br/>', 'but todays market is heavily controlled with emotion and human emotion can not be predicted. also when trading in alt coins the whales can guide the market in any direction they want. ', '<br/>', '<br/>']","July 11, 2018, 02:07:24 PM",xindoa
3,81       ,Newbie Offline,0,['Market prediction are happening everywhere and it confuses a lot of people. I think one should gain knowledge of the market and study a little bit. Once you understand the market you can actually get to know the predictions are worthy for you or not.'],"July 11, 2018, 02:41:00 PM",Chetan04
4,189       ,Member Offline,10,"[""Prediction is not bad at all. At this moment most of the prediction goes wrong for this bad market situation. We have seen many predictions becomes real before, So, we can't blame all predictions. Without prediction, people in this crypto field will become hopeless. So, I don't think we should stay away from predictions rather we should follow good prediction with our own research. ""]","July 11, 2018, 02:57:53 PM",domains4
5,322       ,Full Member Offline,100,"['yes, now I do not follow any prediction because now many predictions are wrong, because crypto is actually no one can predict correctly, better avoid it because it will only give false hope and cause panic.']","July 11, 2018, 03:04:10 PM",panukurap
6,700       ,Sr. Member Offline,271,"['Predictions are just what people hope to happen or at least influence others, so if they want the price to go up they say that the price is gonna go up and people seeing that are going to buy and that will lead to the price actually increasing, and the same goes the other way and if you are not an experience and have no idea about the cryptocurrency market than you will believe these prediction, but i guess this does not really work in the bitcoin market because everyone know that its value is always going to be increasing']","July 11, 2018, 04:16:38 PM",Shenzou
7,210       ,Copper Member,295        ♻️Prevention is better than cure,"[""Don't listen prediction of big whale. They predict for their own. Not for us. Bitcoin follow his own way. No one can exactly predict what will happen. It's might be wrong. Some time predict price will go down so people start sale then automatically price will down. Then big whale will buy once price is down. In a result they will sale it again when price will up. On the other hand you will lazy if always follow prediction. It cause of loss. Try to do your own research.""]","July 11, 2018, 04:27:41 PM",Coolcryptovator
8,434       ,Sr. Member Offline,250,"[""In my opinion, we should stay off, because it's a prediction, instead of believing and regretting it later, why not make your own? I can say that prediction might lead to a bigger loss. You should consider yourself and your decision instead of believing some predictions that you're uncertain. Your prediction might be correct than the market prediction, I can say that you should not let someone dictate you, you should make your own choice.""]","July 11, 2018, 05:05:29 PM",Ryker1
9,504       ,Full Member Offline,100,"['<div class=""quoteheader""><a href=""https://bitcointalk.org/index.php?topic=4631576.msg41868767#msg41868767"">Quote from: bhadz on July 09, 2018, 10:24:32 PM</a></div>', '<div class=""quote"">This is market is speculative and that\'s why many are believing these predictions especially if it came from a popular person who made riches through investing. There\'s nothing wrong if you\'ll get yourself start believing these predictions, what you need to do is have your prediction on where the market is going. Since they are here to stay, you should start analyzing so you\'ll start depending on your own market analysis after reading charts and considering the news as well.<br/></div>', ""I really agree because if we do something without a good plan it will be useless. So it's better we have to know the market situation, and not just referring to market predictions."", '<br/>']","July 13, 2018, 06:27:04 PM",sheamus10
10,476       ,Sr. Member Offline,250        https://eloncity.io/,"['I suggest that we people should stay away from believing and following different market predictions. It will only crash our own will to keep on going here and proceed to our own interest if our hope will destroy of this wrong predictions. Well, it still depends on the people on how they will use this predictions here in the crypto currency community, and they should always know that no one ever know what the future of the crypto world will be.']","July 11, 2018, 10:40:52 AM",KimmyF
11,574       ,Sr. Member Offline,250        Tackling Climate Change Using Blockchain,"['Prediction from expert sometimes usefull. Its like a guide to make better investment with our money. Off course, prediction is just a prediction and not all prediction right but at least we with prediction from expert makes us more confident with our investment']","July 11, 2018, 11:45:32 AM",TheClownSong
12,41       ,Newbie Offline,0,['It is true in some way but not totally. How can we invest in something without predicting the future of it? We need to do the research properly and then predict what may happen.'],"July 11, 2018, 02:33:06 PM",nikiknowsnothing
13,336       ,Member Offline,10        Look ARROUND!,"['Predictions or misinformation spread on the Internet will easily generate FuDs, especially new users. They do not firmly believe and psychologically cause panic and anxiety. However, just be patient and keep the crypto as a long-term investment. You are completely assured with that.']","July 11, 2018, 02:51:48 PM",00DKM@
14,210       ,Newbie Offline,0,"[""Am fascinated by predictions, but don't necessarily follow it, I do my personal calculations and follow my trading style. My friends and me do discuss market predictions by expert and try to work round to clock and see how not to get caught.""]","July 11, 2018, 03:03:33 PM",Leonardo7
